wavelength,k white,s white,k black,s black,k cobalt b,s cobalt b,k quinacidone Magenta,s quinacridone Magenta,k phthalo blue (green shade),s phthalo blue (green shade),k hansa Yellow,s hansa Yellow,k Phthalo Green,s phthalo Green,k pyrrole Red,s pyrrole Red,k ultramarine Blue,s ultramarine Blue,k dioxazine Purple,s dioxazine Purple,k pyrrole Orange,s pyrrole Orange,,
380,0.886548935,1,2.55,0.30054975,0.003727455,0.02816008,0.063156076,0.032903028,0.5,0.107027561,0.598107833,0.064879776,0.8549,0.093307853,0.3500,0.0205,0.0071,0.0045,0.3031,0.0235,0.0500,0.0099,,
390,0.357981019,1,2.7,0.350594952,0.003727455,0.02816008,0.063156076,0.029,0.35,0.090188369,0.66,0.07931475,0.8696,0.094326415,0.3873,0.0206,0.0071,0.0045,0.2330,0.0174,0.1360,0.0115,,
400,0.074936495,1,2.82,0.360257841,0.003727455,0.02816008,0.063156076,0.026474154,0.240651417,0.07028538,0.7,0.085141685,0.8197,0.092791325,0.4212,0.0212,0.0071,0.0045,0.1927,0.0148,0.2000,0.013,,
410,0.009083894,1,2.92,0.347240973,0.003727455,0.02816008,0.063156076,0.023246247,0.17,0.052016812,0.738445619,0.089117408,0.7309,0.088203032,0.4585,0.022,0.0071,0.0045,0.1583,0.0119,0.2388,0.0147,,
420,0.001025901,1,2.994922985,0.351228643,0.003727455,0.02816008,0.063156076,0.020206694,0.12027664,0.04039285,0.782434642,0.095495487,0.6442,0.078629739,0.5196,0.0243,0.0071,0.0043,0.1353,0.0100,0.2749,0.0168,,
430,0.000285601,1,3.026573148,0.34877095,0.003727455,0.02816008,0.070125327,0.018684186,0.087165922,0.032175198,0.825741028,0.09965243,0.5535,0.070590955,0.5772,0.0277,0.0071,0.0042,0.1219,0.0087,0.3211,0.0187,,
440,0.0002209,1,3.044085672,0.352855838,0.003727455,0.027745325,0.085296162,0.018120376,0.050034441,0.026196942,0.878105129,0.100593802,0.4587,0.062625316,0.6331,0.0315,0.0064,0.0042,0.1194,0.0079,0.3675,0.0212,,
450,0.00020614,1,3.101140311,0.357363791,0.004232478,0.028108841,0.109278193,0.018316419,0.032968727,0.02065855,0.926097731,0.101082503,0.3510,0.053824392,0.6854,0.0348,0.0065,0.0041,0.1325,0.0081,0.4152,0.0237,,
460,0.000195043,1,3.145342642,0.360323568,0.004746966,0.027809427,0.140335972,0.018964597,0.029516335,0.016947805,0.961146501,0.104260414,0.2296,0.04382524,0.7356,0.0375,0.0081,0.0039,0.1623,0.0092,0.4566,0.0269,,
470,0.000181266,1,3.188257461,0.365239796,0.006097267,0.027140155,0.179421377,0.020068139,0.0302926,0.014125552,0.995585538,0.112028844,0.1295,0.034513198,0.7819,0.0395,0.0125,0.0038,0.2115,0.0116,0.4889,0.0305,,
480,0.000180517,1,3.234737458,0.370564443,0.007945241,0.02633128,0.237539151,0.021805234,0.036077144,0.011423183,1.009952564,0.123263857,0.0713,0.026551354,0.8182,0.0419,0.0213,0.0037,0.2999,0.0157,0.5248,0.0335,,
490,0.000178279,1,3.277509348,0.371022175,0.006858157,0.026499631,0.315912182,0.025473968,0.047507035,0.008858675,0.880791723,0.164241937,0.0445,0.020807451,0.8476,0.0449,0.0372,0.0039,0.4645,0.0223,0.5731,0.0354,,
500,0.000175319,1,3.311094196,0.368105417,0.009258865,0.025479863,0.396116794,0.029111591,0.067018337,0.006551978,0.466964602,0.30095856,0.0395,0.016891803,0.8830,0.0482,0.0624,0.0044,0.6844,0.0299,0.6087,0.0379,,
510,0.000169479,1,3.354622594,0.375211875,0.01916199,0.022743009,0.493958191,0.033120172,0.100626644,0.005529197,0.133896406,0.41607675,0.0462,0.013860812,0.9180,0.0504,0.0988,0.0052,0.9357,0.0391,0.6152,0.0421,,
520,0.000165169,1,3.422264413,0.380464582,0.040608537,0.018935911,0.68019891,0.043429519,0.161379397,0.005742063,0.030903074,0.43334058,0.0615,0.011373836,0.9489,0.0494,0.1460,0.0063,1.2617,0.0559,0.6444,0.0472,,
530,0.000161623,1,3.459004608,0.389226512,0.07500357,0.015428092,0.896175938,0.057219278,0.262641604,0.007891331,0.007724314,0.43334058,0.0870,0.009848572,0.9559,0.0492,0.2022,0.0077,1.5366,0.0719,0.6930,0.056,,
540,0.000163036,1,3.510661286,0.39503921,0.121404241,0.013414926,0.952125881,0.064451785,0.41980652,0.012870887,0.002560254,0.43334058,0.1292,0.009325714,0.9932,0.0546,0.2632,0.0087,1.6149,0.0786,0.7016,0.0738,,
550,0.000155346,1,3.528962003,0.401877789,0.150551748,0.013323653,0.89043837,0.063140725,0.656783141,0.01973371,0.001320637,0.43334058,0.1983,0.010143008,1.0728,0.0684,0.3225,0.0105,1.6295,0.0823,0.5441,0.0941,,
560,0.000151916,1,3.558227798,0.395580087,0.17309672,0.013506992,0.884664999,0.067308118,0.999405565,0.029415905,0.000933207,0.43334058,0.3026,0.012639963,1.1327,0.0843,0.3793,0.0123,1.7033,0.0957,0.2434,0.1108,,
570,0.000148528,1,3.605646089,0.410610564,0.211823702,0.013795589,0.777651859,0.067798292,1.375990535,0.044721399,0.000746774,0.43334058,0.4525,0.016940571,1.1190,0.1104,0.4299,0.0137,1.6986,0.1106,0.0703,0.1255,,
580,0.000151916,1,3.654758318,0.411253813,0.243206006,0.014288438,0.465209582,0.055507771,1.693686,0.063402929,0.000648813,0.43334058,0.6778,0.023700085,0.9125,0.1444,0.4724,0.0145,1.4788,0.1116,0.0185,0.1383,,
590,0.000153283,1,3.711350521,0.420134071,0.253265617,0.015524005,0.204948047,0.03957226,1.918873341,0.082554318,0.000566839,0.43334058,1.0099,0.04219193,0.3441,0.292,0.4996,0.0150,1.1527,0.0945,0.0053,0.1426,,
600,0.000154657,1,3.743105851,0.423728853,0.250231974,0.016617681,0.08287916,0.027903336,2.136860644,0.106639833,0.000501567,0.43334058,1.4437,0.069327082,0.0764,0.338,0.5161,0.0158,0.9408,0.0734,0.0016,0.142,,
610,0.000165169,1,3.80038158,0.430212607,0.242981872,0.01754331,0.034722576,0.02175753,2.334658681,0.135679471,0.000486643,0.43334058,1.8510,0.104051912,0.0217,0.3127,0.5208,0.0153,0.9395,0.0648,0.0007,0.141,,
620,0.000163036,1,3.841638498,0.437485353,0.249403875,0.018490647,0.01581339,0.018034482,2.457090895,0.167905183,0.000440383,0.43334058,2.1114,0.142927814,0.0075,0.282,0.5100,0.0163,1.0812,0.0704,0.0004,0.1436,,
630,0.000168756,1,3.891224692,0.43786233,0.2465167,0.020199979,0.008161937,0.015279646,2.529419056,0.192446222,0.000402114,0.43334058,2.2605,0.16905872,0.0030,0.2435,0.4900,0.0156,1.1201,0.0809,0.0004,0.1414,,
640,0.000149202,1,3.913921714,0.440416325,0.201948627,0.023683461,0.004823661,0.012937886,2.558554373,0.214671642,0.000395441,0.43334058,2.3523,0.1974,0.0014,0.2061,0.4548,0.0156,0.8946,0.0833,0.0004,0.1321,,
650,0.000160217,1,3.988394047,0.462315544,0.128920266,0.029045727,0.003291184,0.011026949,2.501574634,0.227983143,0.000382128,0.43334058,2.4348,0.2380,0.0009,0.1724,0.4104,0.0159,0.5818,0.0722,0.0004,0.1188,,
660,0.000193485,1,4.077110084,0.469830891,0.06518209,0.0351502,0.002631718,0.009980504,2.374240822,0.213245591,0.000365282,0.43334058,2.3985,0.2602,0.0006,0.145,0.3566,0.0149,0.3323,0.0555,0.0004,0.1048,,
670,0.000215918,1,4.121023946,0.474891359,0.027492017,0.040584615,0.002114553,0.00867273,2.320180912,0.205333286,0.00038387,0.43334058,2.2324,0.2603,0.0005,0.1273,0.2956,0.0142,0.1811,0.0427,0.0004,0.0854,,
680,0.000222575,1,4.175260063,0.483976157,0.010633939,0.044388583,0.001860468,0.007998113,2.394542328,0.204048337,0.000466791,0.43334058,2.0091,0.2411,0.0005,0.1203,0.2329,0.0129,0.0995,0.0344,0.0004,0.0682,,
690,0.000225945,1,4.204157733,0.487325837,0.003779916,0.044023291,0.001585039,0.007049765,2.543758888,0.226794734,0.000480021,0.43334058,1.8096,0.2159,0.0004,0.1119,0.1765,0.0123,0.0566,0.0292,0.0004,0.0536,,
700,0.000236222,1,4.245739554,0.500807035,0.001497549,0.039946496,0.001430748,0.006388652,2.792201095,0.267409614,0.000488412,0.43334058,1.6791,0.1958,0.0004,0.0998,0.1281,0.0113,0.0334,0.0254,0.0004,0.0445,,
710,0.000256623,1,4.296483126,0.506792503,0.00081173,0.034916111,0.001363709,0.00599398,3.061118012,0.361074771,0.000515982,0.43334058,1.6583,0.1900,0.0003,0.0858,0.0931,0.0107,0.0214,0.0240,0.0004,0.0374,,
720,0.000315287,1,4.376799902,0.522230015,0.000592218,0.031335343,0.001347776,0.005729981,3.097664908,0.457559401,0.000498826,0.43334058,1.7230,0.2044,0.0003,0.0714,0.0676,0.0108,0.0144,0.0237,0.0004,0.0299,,
730,0.000381868,1,4.487844674,0.53547963,0.000507401,0.028352512,0.001287503,0.005221667,2.819171608,0.49081518,0.000517627,0.43334058,1.7655,0.2215,0.0002,0.0566,0.0515,0.0107,0.0108,0.0255,0.0004,0.0224,,
